Date,IBX
2012-07-24,19389.75
2012-07-25,19424.97
2012-07-26,19823.78
2012-07-27,20607.35
2012-07-30,20799.22
2012-07-31,20428.95
2012-08-01,20467.09
2012-08-02,20240.34
2012-08-03,20690.21
2012-08-06,20972.83
2012-08-07,20913.98
2012-08-08,21263.77
2012-08-09,21170.51
2012-08-10,21318.15
2012-08-13,21240.0
2012-08-14,21004.55
2012-08-15,21034.0
2012-08-16,21336.15
2012-08-17,21221.62
2012-08-20,21233.69
2012-08-21,21068.27
2012-08-22,21201.42
2012-08-23,20979.05
2012-08-24,20939.98
2012-08-27,20865.36
2012-08-28,20903.46
2012-08-29,20570.39
2012-08-30,20502.5
2012-08-31,20397.09
2012-09-03,20513.63
2012-09-04,20216.16
2012-09-05,20413.86
2012-09-06,20870.83
2012-09-10,20875.92
2012-09-11,21098.18
2012-09-12,21155.29
2012-09-13,21705.16
2012-09-14,21868.79
2012-09-17,21873.26
2012-09-18,21800.04
2012-09-19,21687.7
2012-09-20,21691.76
2012-09-21,21636.67
2012-09-24,21765.57
2012-09-25,21254.05
2012-09-26,21265.75
2012-09-27,21223.83
2012-09-28,20965.76
2012-10-01,21124.89
2012-10-02,21131.85
2012-10-03,20899.18
2012-10-04,20960.61
2012-10-05,21049.28
2012-10-08,21257.82
2012-10-09,21054.7
2012-10-10,20911.66
2012-10-11,21144.56
2012-10-15,21238.8
2012-10-16,21368.07
2012-10-17,21420.78
2012-10-18,21370.61
2012-10-19,21129.56
2012-10-22,21033.58
2012-10-23,20709.01
2012-10-24,20667.75
2012-10-25,20922.06
2012-10-26,20848.75
2012-10-29,20819.76
2012-10-30,20954.67
2012-10-31,20741.23
2012-11-01,21159.45
2012-11-05,21144.35
2012-11-06,21417.01
2012-11-07,21122.5
2012-11-08,20786.73
2012-11-09,20747.97
2012-11-12,20629.7
2012-11-13,20819.34
2012-11-14,20477.9
2012-11-16,20314.65
2012-11-19,20590.85
2012-11-21,20596.18
2012-11-22,20647.72
2012-11-23,21007.55
2012-11-26,20792.61
2012-11-27,20602.12
2012-11-28,20672.31
2012-11-29,20992.56
2012-11-30,20980.93
2012-12-03,21195.37
2012-12-04,20994.94
2012-12-05,21030.58
2012-12-06,20998.94
2012-12-07,21180.0
2012-12-10,21411.57
2012-12-11,21618.87
2012-12-12,21579.59
2012-12-13,21541.81
2012-12-14,21691.71
2012-12-17,21712.44
2012-12-18,21935.29
2012-12-19,22185.57
2012-12-20,22180.12
2012-12-21,22151.75
2012-12-26,21993.48
2012-12-27,21836.54
2012-12-28,21982.33
2013-01-02,22447.34
2013-01-03,22761.82
2013-01-04,22595.6
2013-01-07,22369.85
2013-01-08,22177.57
2013-01-09,22383.48
2013-01-10,22393.89
2013-01-11,22294.44
2013-01-14,22427.99
2013-01-15,22292.29
2013-01-16,22399.04
2013-01-17,22574.57
2013-01-18,22525.36
2013-01-21,22507.17
2013-01-22,22551.2
2013-01-23,22551.15
2013-01-24,22399.72
2013-01-28,22030.61
2013-01-29,22129.05
2013-01-30,21811.17
2013-01-31,22032.57
2013-02-01,22164.88
2013-02-04,21957.43
2013-02-05,21902.26
2013-02-06,21748.81
2013-02-07,21538.34
2013-02-08,21607.68
2013-02-13,21590.05
2013-02-14,21475.35
2013-02-15,21558.77
2013-02-18,21563.56
2013-02-19,21486.44
2013-02-20,21143.28
2013-02-21,21046.35
2013-02-22,21201.73
2013-02-25,21155.02
2013-02-26,21181.87
2013-02-27,21242.9
2013-02-28,21395.64
2013-03-01,21331.51
2013-03-04,21187.1
2013-03-05,21137.06
2013-03-06,21801.9
2013-03-07,21952.43
2013-03-08,21936.79
2013-03-11,21999.27
2013-03-12,21830.03
2013-03-13,21643.85
2013-03-14,21697.02
2013-03-15,21599.9
2013-03-18,21601.71
2013-03-19,21401.84
2013-03-20,21365.45
2013-03-21,21204.04
2013-03-22,21115.38
2013-03-25,20994.04
2013-03-26,21226.71
2013-03-27,21356.29
2013-03-28,21531.88
2013-04-01,21361.44
2013-04-02,21092.36
2013-04-03,21315.15
2013-04-04,21002.23
2013-04-05,21073.96
2013-04-08,21048.5
2013-04-09,21424.66
2013-04-10,21552.77
2013-04-11,21341.1
2013-04-12,21170.73
2013-04-15,20515.69
2013-04-16,20932.55
2013-04-17,20593.3
2013-04-18,20667.42
2013-04-19,20938.5
2013-04-22,21023.3
2013-04-23,21326.87
2013-04-24,21328.88
2013-04-25,21289.3
2013-04-26,20971.34
2013-04-29,21177.71
2013-04-30,21700.22
2013-05-02,21544.57
2013-05-03,21610.63
2013-05-06,21612.7
2013-05-07,21927.95
2013-05-08,21889.85
2013-05-09,21910.54
2013-05-10,21804.34
2013-05-13,21535.62
2013-05-14,21628.04
2013-05-15,21702.17
2013-05-16,21640.57
2013-05-17,21822.91
2013-05-20,22060.25
2013-05-21,22191.94
2013-05-22,22180.96
2013-05-23,22035.58
2013-05-24,22012.59
2013-05-27,21987.06
2013-05-28,22029.82
2013-05-29,21652.66
2013-05-31,21510.81
2013-06-03,21517.33
2013-06-04,21487.75
2013-06-05,21024.39
2013-06-06,21066.41
2013-06-07,20747.75
2013-06-10,20665.11
2013-06-11,20144.63
2013-06-12,19953.18
2013-06-13,20242.75
2013-06-14,19909.74
2013-06-17,20019.1
2013-06-18,20062.82
2013-06-19,19620.23
2013-06-20,19575.13
2013-06-21,19235.89
2013-06-24,18777.19
2013-06-25,18992.17
2013-06-26,19122.59
2013-06-27,19400.75
2013-06-28,19560.37
2013-07-01,19621.15
2013-07-02,18922.14
2013-07-03,18872.92
2013-07-04,19048.89
2013-07-05,18790.25
2013-07-08,18739.41
2013-07-10,18906.47
2013-07-11,19398.58
2013-07-12,19144.36
2013-07-15,19458.3
2013-07-16,19538.73
2013-07-17,19707.25
2013-07-18,19727.78
2013-07-19,19578.75
2013-07-22,19960.15
2013-07-23,20092.27
2013-07-24,19951.59
2013-07-25,20125.77
2013-07-26,20153.62
2013-07-29,20059.09
2013-07-30,19910.68
2013-07-31,19900.2
2013-08-01,20280.43
2013-08-02,20119.76
2013-08-05,20026.13
2013-08-06,19655.32
2013-08-07,19660.67
2013-08-08,20118.55
2013-08-09,20370.88
2013-08-12,20452.02
2013-08-13,20580.09
2013-08-14,20582.21
2013-08-15,20617.58
2013-08-16,20730.7
2013-08-19,20649.84
2013-08-20,20252.28
2013-08-21,20190.47
2013-08-22,20488.67
2013-08-23,20724.23
2013-08-26,20474.49
2013-08-27,20059.93
2013-08-28,19977.77
2013-08-29,20093.37
2013-08-30,20271.53
2013-09-02,20586.7
2013-09-03,20340.27
2013-09-04,20454.96
2013-09-05,20707.02
2013-09-06,20916.43
2013-09-09,21384.75
2013-09-10,21520.48
2013-09-11,21443.58
2013-09-12,21219.82
2013-09-13,21374.15
2013-09-16,21444.47
2013-09-17,21525.27
2013-09-18,21919.05
2013-09-19,21891.74
2013-09-20,21533.69
2013-09-23,21694.92
2013-09-24,21641.01
2013-09-25,21618.55
2013-09-26,21615.81
2013-09-27,21696.55
2013-09-30,21281.05
2013-10-01,21546.04
2013-10-02,21527.94
2013-10-03,21354.03
2013-10-04,21498.15
2013-10-07,21456.4
2013-10-08,21323.29
2013-10-09,21401.14
2013-10-10,21577.02
2013-10-11,21671.72
2013-10-14,21943.96
2013-10-15,21941.5
2013-10-16,21960.72
2013-10-17,21989.43
2013-10-18,22054.8
2013-10-21,22232.45
2013-10-22,22364.93
2013-10-23,22065.98
2013-10-24,21991.18
2013-10-25,21954.17
2013-10-28,22254.55
2013-10-29,22223.12
2013-10-30,22270.31
2013-10-31,22422.2
2013-11-01,22354.91
2013-11-04,22541.86
2013-11-05,22362.68
2013-11-06,22300.5
2013-11-07,22061.35
2013-11-08,21830.63
2013-11-11,21983.14
2013-11-12,21680.84
2013-11-13,21827.63
2013-11-14,22260.08
2013-11-18,22562.02
2013-11-19,22136.71
2013-11-21,22017.82
2013-11-22,22011.52
2013-11-25,21789.19
2013-11-26,21562.82
2013-11-27,21732.62
2013-11-28,21713.96
2013-11-29,21970.96
2013-12-02,21458.74
2013-12-03,21128.17
2013-12-04,20940.67
2013-12-05,21105.09
2013-12-06,21091.49
2013-12-09,21191.73
2013-12-10,21078.89
2013-12-11,20736.99
2013-12-12,20724.98
2013-12-13,20704.87
2013-12-16,20802.88
2013-12-17,20737.62
2013-12-18,20824.38
2013-12-19,21185.76
2013-12-20,21056.2
2013-12-23,21120.3
2013-12-26,21078.25
2013-12-27,21162.64
2013-12-30,21294.4
2014-01-02,21006.71
2014-01-03,20874.1
2014-01-06,20879.43
2014-01-07,20716.45
2014-01-08,20766.26
2014-01-09,20257.89
2014-01-10,20386.01
2014-01-13,20262.2
2014-01-14,20387.46
2014-01-15,20529.58
2014-01-16,20350.67
2014-01-17,20138.77
2014-01-20,19966.77
2014-01-21,19934.68
2014-01-22,20214.99
2014-01-23,19805.63
2014-01-24,19604.63
2014-01-27,19560.77
2014-01-28,19625.34
2014-01-29,19519.71
2014-01-30,19389.36
2014-01-31,19559.61
2014-02-03,18961.09
2014-02-04,19287.66
2014-02-05,19136.07
2014-02-06,19586.73
2014-02-07,19721.75
2014-02-10,19568.03
2014-02-11,19867.64
2014-02-12,19756.78
2014-02-13,19616.73
2014-02-14,19775.96
2014-02-17,19541.64
2014-02-18,19198.08
2014-02-19,19427.37
2014-02-20,19463.39
2014-02-21,19519.98
2014-02-24,19549.72
2014-02-25,19284.77
2014-02-26,19268.02
2014-02-27,19651.79
2014-02-28,19497.39
2014-03-05,19320.41
2014-03-06,19530.63
2014-03-07,19213.38
2014-03-10,18945.1
2014-03-11,19021.13
2014-03-12,19072.1
2014-03-13,18889.76
2014-03-14,18685.2
2014-03-17,18803.25
2014-03-18,19205.12
2014-03-19,19346.94
2014-03-20,19617.33
2014-03-21,19665.88
2014-03-24,19917.59
2014-03-25,19984.88
2014-03-26,19939.96
2014-03-27,20587.76
2014-03-28,20603.2
2014-03-31,20841.73
2014-04-01,20818.86
2014-04-02,21368.72
2014-04-03,21254.29
2014-04-04,21103.31
2014-04-07,21517.22
2014-04-08,21300.45
2014-04-09,21153.92
2014-04-10,21169.46
2014-04-11,21493.06
2014-04-14,21379.04
2014-04-15,20958.42
2014-04-16,21265.17
2014-04-17,21617.9
2014-04-22,21578.81
2014-04-23,21408.3
2014-04-24,21484.97
2014-04-25,21348.32
2014-04-28,21342.35
2014-04-29,21508.56
2014-04-30,21406.3
2014-05-02,21839.04
2014-05-05,22037.43
2014-05-06,22173.76
2014-05-07,22272.42
2014-05-08,22040.27
2014-05-09,21912.33
2014-05-12,22284.48
2014-05-13,22229.36
2014-05-14,22426.29
2014-05-15,22193.66
2014-05-16,22236.33
2014-05-19,21984.27
2014-05-20,21593.95
2014-05-21,21541.16
2014-05-22,21780.34
2014-05-23,21704.56
2014-05-26,21824.18
2014-05-27,21510.27
2014-05-28,21695.41
2014-05-29,21556.91
2014-05-30,21167.57
2014-06-02,21313.58
2014-06-03,21497.61
2014-06-04,21417.92
2014-06-05,21314.95
2014-06-06,21928.38
2014-06-09,22380.69
2014-06-10,22523.51
2014-06-11,22700.72
2014-06-13,22575.15
2014-06-16,22501.55
2014-06-17,22378.5
2014-06-18,22746.13
2014-06-20,22524.63
2014-06-23,22341.81
2014-06-24,22371.14
2014-06-25,22030.69
2014-06-26,22063.57
2014-06-27,21924.08
2014-06-30,21934.98
2014-07-01,21933.34
2014-07-02,21867.3
2014-07-03,22200.22
2014-07-04,22279.17
2014-07-07,22170.95
2014-07-08,22101.56
2014-07-10,22451.71
2014-07-11,22538.41
2014-07-14,22900.06
2014-07-15,22978.72
2014-07-16,22885.63
2014-07-17,22857.81
2014-07-18,23390.67
2014-07-21,23659.27
2014-07-22,23802.77
2014-07-23,23576.17
2014-07-24,23792.69
2014-07-25,23725.27
2014-07-28,23674.64
2014-07-29,23446.93
2014-07-30,23336.45
2014-07-31,22913.07
2014-08-01,22943.73
2014-08-04,23230.4
2014-08-05,23067.82
2014-08-06,23166.13
2014-08-07,23053.99
2014-08-08,22826.75
2014-08-11,23246.54
2014-08-12,23188.51
2014-08-13,22878.24
2014-08-14,22951.0
2014-08-15,23408.32
2014-08-18,23639.72
2014-08-19,23981.01
2014-08-20,24145.43
2014-08-21,24195.08
2014-08-22,23967.01
2014-08-25,24497.25
2014-08-26,24530.77
2014-08-27,24974.47
2014-08-28,24714.16
2014-08-29,25110.33
2014-09-01,25044.48
2014-09-02,25333.2
2014-09-03,25324.1
2014-09-04,24923.91
2014-09-05,24883.36
2014-09-08,24297.22
2014-09-09,24078.76
2014-09-10,23893.78
